"Energy","Water","Protein","Fats","Sugars","Starch","Alcohol","Fibre","Group"
"Salami sausage saveloy lean",241,56.5,23,16.5,0.1,0,0,0," Meat"
"Sausage luncheon meat lean",163,68,11.6,10.1,5.1,1.3,0,0," Meat"
"Pate spreadable lean",187,65.6,9.7,12,1.3,8.7,0,0.3," Meat"
"Chicken (processed meat product)",125,71.6,17.5,4.4,1,2.4,0,0," Meat"
"Sausage raw beef",166,65.5,18.6,9.4,0.4,0.8,0,1.2," Meat"
"Sausage grill w cheese",331,53.9,14.3,29.3,0.5,2.2,0,0," Meat"
"Beef smoke-dried lightly salted",116,74,22.8,2.5,0.6,0.1,0,0," Meat"
"Horse meat smoked",103,71.2,21.7,1.4,0.9,0,0,0," Meat"
"Sausage Chorizo",358,37.4,20.7,29.1,3,0.4,0,0," Meat"
"Sausage grill",310,53.3,13.2,27.2,0.7,2.3,0,0," Meat"
"Turkey (processed meat product)",113,71.3,19.8,2.4,3.2,0,0,0," Meat"
"Bacon smoked Katenspek",309,54.7,14,27.6,1.2,0,0,0," Meat"
"Processed meat prod 10-20 g fat excl liver av",204,63.3,15.8,14.4,0.5,2.3,0,0.1," Meat"
"Beef salted dried seasoned Pastirma Turkish",155,65,30,3,2,0,0,0," Meat"
"Sausage grill chicken",209,66.5,13.8,15,1.1,3.4,0,0.3," Meat"
"Processed meat products low sodium",179,67.2,16.1,11.1,1.5,2,0,0.2," Meat"
"Roastbeef",156,71,27.2,5.1,0.2,0.1,0,0," Meat"
"Pork rolled (processed meat product)",129,71,19.7,5.1,0.8,0.3,0,0.1," Meat"
"Sausage dried metworst",484,31.8,22.3,42.5,1.4,1.3,0,0.8," Meat"
"Mussels boiled",125,70.7,17.2,3.1,0,7.2,0,0,"Fish"
"Eel raw",372,50.9,14,35.1,0,0,0,0,"Fish"
"Herring raw",199,65,16,15,0,0,0,0,"Fish"
"Fish lean 0-5 g fat raw av",90,78.8,19.3,1.5,0,0,0,0,"Fish"
"Fish fat >5 g fat raw av",242,61.6,17.2,19.1,0,0.3,0,0,"Fish"
"Kipper smoked",242,55.6,20.8,17.5,0.3,0,0,0,"Fish"
"Shrimps Dutch boiled",94,75.9,19.8,1.6,0.1,0,0,0,"Fish"
"Herring fillet in tomato sauce tinned",201,67.4,12,14.6,4.5,0.9,0,0.5,"Fish"
"Herring salted",172,66.5,17.6,10.1,0,2.8,0,0,"Fish"
"Crab in water tinned",85,79.2,18.1,1.4,0,0,0,0,"Fish"
"Lobster boiled",86,80.7,19.7,0.8,0,0,0,0,"Fish"
"Mackerel raw",233,61.9,18,17.9,0,0,0,0,"Fish"
"Oysters",57,84.7,6,1.9,0,4,0,0,"Fish"
"Sardines/pilchards in oil tinned",231,62.3,21.7,16,0,0,0,0,"Fish"
"Liver haddock tinned",409,44.4,7,42.3,0,0,0,0,"Fish"
"Stockfish soaked",138,66.6,32.5,0.9,0,0,0,0,"Fish"
"Salmon tinned",146,70,20.4,7.2,0,0,0,0,"Fish"
"Eel smoked",351,48.3,19.1,30.5,0,0,0,0,"Fish"
"Mackerel steamed",315,52.3,19.5,26.1,0,0.5,0,0,"Fish"
"Shrimps salted dried",274,34,63,2,0,1,0,0,"Fish"
"Cod dried salted",355,12,82,3,0,0,0,0,"Fish"
"Plaice raw",76,80.4,16.4,1.2,0,0,0,0,"Fish"
"Fish fingers fried in sunflower oil",239,53.8,16.4,13,1,13,0,0.4,"Fish"
"Fish fingers unprepared",194,61.1,13,8,0.5,16.5,0,0.8,"Fish"
"Plaice fried",194,62.7,22,10.9,0,2,0,0,"Fish"
"White fish fillet in batter deep-fried in vegetable oil",210,61.4,19,11.2,0.3,7.9,0,0.2,"Fish"
"Cod boiled",105,76,23,1,0,1,0,0,"Fish"
"Cod raw",75,81.6,17.5,0.6,0,0,0,0,"Fish"
"Bloater fried",299,53.1,21.6,22.2,0.2,2.8,0,0.1,"Fish"
"Plaice boiled",98,79,19,2,0,1,0,0,"Fish"
"Pollock (Atlantic) boiled",114,74.9,25,1.5,0,0,0,0,"Fish"
"Salmon smoked",188,62.6,21.8,10.8,0,0.8,0,0,"Fish"
"Caviar",281,50.2,24,20.5,0,0,0,0,"Fish"
"Squid raw",73,81,16,1,0,0,0,0,"Fish"
"Herring pickled (sweet)sour",208,67.8,16,16,0,0,0,0,"Fish"
"Snails",85,79,16,1.4,0,2,0,0,"Fish"
"Mackerel in water tinned",257,59.8,18.6,20.3,0,0,0,0,"Fish"
"Plaice fillet fried/simmered",112,76.7,18.9,3.8,0,0.5,0,0,"Fish"
"Cod fillet fried/simmered",118,74.5,21.5,3.3,0,0.6,0,0,"Fish"
"Mussels fried in vegetable oil",268,54.8,17.2,19,0,7.2,0,0,"Fish"
"Squid rings deep-fried in vegetable oil",440,27,26.2,31.1,2.1,11.7,0,0.2,"Fish"
"Halibut smoked",211,65.8,19.4,14.8,0,0,0,0,"Fish"
"Mackerel fillet smoked",301,50.9,21.1,24.1,0,0,0,0,"Fish"
"Salmon farmed raw",179,67.9,20,11,0,0,0,0,"Fish"
"Anchovy in oil canned",208,62.9,25,11.9,0.1,0,0,0.1,"Fish"
"Tuna in oil tinned",206,62.3,27,10.8,0.1,0,0,0.1,"Fish"
"Tuna in water tinned",109,74.3,24.9,1,0,0,0,0,"Fish"
"Kippers steamed",231,62,20.8,16.2,0,0.5,0,0,"Fish"
"Sprat fillet smoked",212,65.4,19.9,14.8,0,0,0,0,"Fish"
"Mackerel prepared in microwave oven no ingredients added",248,58,24.4,16.7,0,0,0,0,"Fish"
"Mackerel in oil tinned",267,57,20,20.7,0.1,0,0,0.1,"Fish"
"Salmon farmed prep in microwave oven no ingredients added",220,61.7,25.2,13.2,0,0,0,0,"Fish"
"Trout prepared in microwave oven no ingredients added",140,71.8,24.5,4.6,0,0,0,0,"Fish"
"Rainbow trout prepared in microwave oven no ingredients added",167,68.3,23.7,8,0,0,0,0,"Fish"
"Cod prepared in microwave oven no ingredients added",98,77.2,23.5,0.4,0,0,0,0,"Fish"
"Haddock prepared in microwave oven no ingredients added",100,76.5,22.3,1.2,0,0,0,0,"Fish"
"Koolvis (Atlantisch) bereid in magnetron z toev",108,73.3,24.5,1.2,0,0,0,0,"Fish"
"Whiting prepared in microwave oven no ingredients added",101,76.5,22.1,1.4,0,0,0,0,"Fish"
"Plaice prepared in microwave oven no ingredients added",140,68.4,29,2.6,0,0,0,0,"Fish"
"Schar/tongschar bereid in magnetron z toev",119,73.5,23.9,2.6,0,0,0,0,"Fish"
"Sole prepared in microwave oven no ingredients added",116,73.5,24.5,2.1,0,0,0,0,"Fish"
"Flounder prepared in microwave oven no ingredients added",106,76.1,21.9,2,0,0,0,0,"Fish"
"Gurnard prepared in microwave oven no ingredients added",171,66.5,26.1,7.4,0,0,0,0,"Fish"
"Ocean perch prepared in microwave oven no ingredients added",128,73.4,22.3,4.3,0,0,0,0,"Fish"
"Wolf fish prepared in microwave oven no ingredients added",127,71.9,25.2,2.9,0,0,0,0,"Fish"
"Eel prepared in microwave oven no ingredients added",207,64.4,24.3,12.2,0,0,0,0,"Fish"
"Paling zee- bereid in magnetron z toev",199,64.4,24.3,11.4,0,0,0,0,"Fish"
"Soft/hard roe fried",262,61,13.9,21.2,0,3.9,0,0.2,"Fish"
"Soft/hard roe from fat bloater",155,69.2,24.5,6.3,0,0,0,0,"Fish"
"Spawn/hard roe coloured glass",126,75.5,19,5.5,0,0,0,0,"Fish"
"Mussels pickled glass",106,75.7,17.2,3.1,0,2.2,0,0,"Fish"
"Shrimps in water tinned",115,73.8,24.3,1.9,0.1,0,0,0,"Fish"
"Squid prepared in microwave oven no ingredients added",146,69.5,25.8,4.7,0,0,0,0,"Fish"
"Coquilles scallop shell St. Jacques raw",83,78.6,16.8,0.8,0,2.4,0,0,"Fish"
"Pollack (Atlantic) raw",82,81.9,18,1.1,0,0,0,0,"Fish"
"Tuna raw",101,75.6,23.7,0.7,0,0,0,0,"Fish"
"Sole raw",76,83.4,14.7,1.9,0,0,0,0,"Fish"
"Tilapia raw",86,80.3,17.9,1.6,0,0,0,0,"Fish"
"Pangasius bereid in magnetron z toev",89,79.8,18.6,1.6,0,0,0,0,"Fish"
"Herring pickled w gherkin",182,71,16,12.8,0.3,0.3,0,0.5,"Fish"
"Tuna prepared wo fat",122,69,29.2,0.6,0,0,0,0,"Fish"
"Tilapia prepared wo fat",128,71.6,26.2,2.7,0,0,0,0,"Fish"
"Cod dried, salted, soaked, boiled",138,64.9,32.5,0.9,0,0,0,0,"Fish"
"Anchovy raw",125,73.4,20.4,4.8,0,0,0,0,"Fish"
"Surimi",122,73.7,6.8,3.6,3.7,11.8,0,0.3,"Fish"
"Sardines grilled",171,67.2,25.3,7.8,0,0,0,0,"Fish"
"Pollock (Alaska) raw",72,83.7,16.4,0.7,0,0,0,0,"Fish"
"Pollock (Alaska) steamed",120,72.8,27.4,1.2,0,0,0,0,"Fish"
"Prawns cooked",70,84,15.4,0.9,0,0,0,0,"Fish"
"Lemon sole raw",73,82.7,16.7,0.7,0,0,0,0,"Fish"
"Pangasius raw",74,83.7,14.9,1.6,0,0,0,0,"Fish"
"Tuna w vegetables and tomato sauce canned",98,78.7,11.7,3.5,3.9,0.9,0,0.6,"Fish"
"Seafood cooked",112,74.4,16.9,2.9,0.6,4,0,0.1,"Fish"
"Mussels raw",67,82.5,11.1,1.7,0,1.9,0,0,"Fish"
"Fish cuisine pollock w breadcrumbs and herbs prepared",220,59.6,16.5,12.2,0.9,9.7,0,0.8,"Fish"
"Almonds blanched unsalted",631,5.6,21.7,55.8,3.8,3.3,0,7,"Nuts and seeds"
"Cashew nuts unsalted",615,2.9,21.2,48.9,5,15.8,0,3.8,"Nuts and seeds"
"Hazelnuts unsalted",670,4.5,16.4,63,4.3,0.5,0,9,"Nuts and seeds"
"Chestnuts raw",189,54,4,2.7,6,29,0,4.1,"Nuts and seeds"
"Brazil nuts unsalted",687,3.4,14.3,67.1,2.3,0.3,0,7.5,"Nuts and seeds"
"Peanuts unsalted",627,2.3,25.2,51.7,4.8,7,0,6.8,"Nuts and seeds"
"Mixed nuts and raisins",496,10.5,11,32.1,36.1,1.9,0,5.6,"Nuts and seeds"
"Walnuts unsalted",706,4.5,15.9,68.1,2.9,2.2,0,4.6,"Nuts and seeds"
"Nuts mixed unsalted",642,3,21.5,55.1,4.5,7.7,0,6,"Nuts and seeds"
"Peanuts coated",532,2.5,13.2,32.7,8,35.7,0,4.8,"Nuts and seeds"
"M&M's chocolate w peanuts",511,1.9,9.8,25.3,53.6,5.5,0,3.9,"Nuts and seeds"
"Sesame seeds",629,5,26,55,0,6,0,3,"Nuts and seeds"
"Linseeds",477,2.2,19,31,0,13,0,34.8,"Nuts and seeds"
"Sunflower seeds",647,5,18,56.5,0,13,0,7.4,"Nuts and seeds"
"Peanuts salted",620,1.8,24.8,50.5,5.2,8.1,0,6.8,"Nuts and seeds"
"Pecan nuts unroasted unsalted",721,3.5,9.2,72,4,0.5,0,9.6,"Nuts and seeds"
"Pistachio nuts salted",592,3.3,23.8,48.3,5.7,5.1,0,9.5,"Nuts and seeds"
"Nuts mixed salted",638,2.9,21.3,54.7,4.4,7.6,0,6,"Nuts and seeds"
"Peanuts dry roasted",577,2.5,24,47,3.5,7.5,0,7,"Nuts and seeds"
"Pine nuts",611,6.7,24,50.7,3.8,10.2,0,0.8,"Nuts and seeds"
"Peanuts sugar coated",536,1.4,15.1,31,42.9,4.2,0,4.1,"Nuts and seeds"
"Poppy seeds",455,5.2,19.2,35.6,2.3,0.1,0,24,"Nuts and seeds"
"Pumpkin seeds",574,5.8,30.3,47.2,1.6,1.2,0,8.5,"Nuts and seeds"
"Nuts macadamia unsalted",753,1.6,7.8,76.1,4.1,1.2,0,8,"Nuts and seeds"
"Cashew nuts salted",615,2.9,21.2,48.9,5,15.8,0,3.8,"Nuts and seeds"
"Almonds blanched salted",631,5.6,21.7,55.8,3.8,3.3,0,7,"Nuts and seeds"
"Peanuts milkchocolate coated",568,4.4,16.1,39.1,30,5.5,0,4.8,"Nuts and seeds"
"Hemp seed",592,5,31.6,48.8,1.5,3.2,0,4,"Nuts and seeds"
"Chia seeds dried",443,5.8,16.5,30.7,NA,NA,0,34.4,"Nuts and seeds"
"Almonds w skin unsalted",622,4.6,25.4,53.4,4.4,0.6,0,10.2,"Nuts and seeds"
"Brazil nuts salted",687,3.4,14.3,67.1,2.3,0.3,0,7.5,"Nuts and seeds"
"Walnuts salted",706,4.5,15.9,68.1,2.9,2.2,0,4.6,"Nuts and seeds"
"Nuts macadamia salted",753,1.6,7.8,76.1,4.1,1.2,0,8,"Nuts and seeds"
"Pistachio nuts unsalted",592,3.3,23.8,48.3,5.7,5.1,0,9.5,"Nuts and seeds"
"Almonds w skin salted",622,4.6,25.4,53.4,4.4,0.6,0,10.2,"Nuts and seeds"
"Pecannuts oil roasted salted",750,1.1,9.2,75.2,4,0.3,0,9.5,"Nuts and seeds"
"Seeds and kernels av",550,4.5,21.4,42.5,1.2,9.9,0,17.8,"Nuts and seeds"
"Sugar castor brown",396,1,0,0,99,0,0,0,"Sweets"
"Sugar castor white",396,1,0,0,99,0,0,0,"Sweets"
"Sugar granulated",400,0,0,0,100,0,0,0,"Sweets"
"Syrup Keukenstroop",328,18,0,0,82,0,0,0,"Sweets"
"Syrup sugar",300,25,0,0,75,0,0,0,"Sweets"
"Syrup apple",280,26,1.8,0,58,7.9,0,4.6,"Sweets"
"Chocolate milk",548,1.4,7,34.1,49,3,0,2.8,"Sweets"
"Chocolate dark",531,1.2,6.5,33.7,41.7,5,0,7.2,"Sweets"
"Chocolate flakes milk",454,1.1,5.8,15,70,2,0,3.5,"Sweets"
"Chocolate butter",515,10.2,1.6,32.2,32.4,21.2,0,2.4,"Sweets"
"Chocolate flakes dark",444,0.8,5.2,15.5,64,3,0,7,"Sweets"
"Spread chocolate hazelnut",562,1.5,5.7,35.3,50.2,3.7,0,2.9,"Sweets"
